,L-Precision,L-Recall,L-Measure,Expanded L-Precision,Expanded L-Recall,Expanded L-Measure,ref_name,est_name
TRJYYCU149E3A64F41,0.5760623460269276,0.6534169487639737,0.6123062048031441,0.8451494479234375,0.7598586751135927,0.8002378686494299,Reference,Estimate
TRKALMH149E39EC208,0.9064184060747663,0.8232908373956253,0.8628571205075787,0.9071165276535159,0.9066131983821689,0.9068647931782319,Reference,Estimate
TRKAOWL149E3B47A5C,0.6483442461551563,0.60672934042998,0.6268468734356666,0.657985230363434,0.6518294428727265,0.6548928713198954,Reference,Estimate
TRKBBXU149E348D0C1,0.5380552925153727,0.5423468882650376,0.5401925668077808,0.6063372069169327,0.6412205871490662,0.6232912041091896,Reference,Estimate
TRKBIXR149E3299CEA,0.520695697991322,0.7018634692280153,0.5978562000160865,0.7451444918847552,0.7825900608385351,0.7634083711703692,Reference,Estimate
TRKBURM149E3691669,0.7426559256354474,0.7267044867593575,0.7345936214493476,0.7119038129741222,0.7443380900691183,0.7277597538632928,Reference,Estimate
TRKCBKD149E3C4EEAC,0.7497370441572201,0.7487384009966032,0.7492373898093093,0.8413018971191931,0.8372728538517171,0.8392825400768319,Reference,Estimate
TRKCOQV149E388A0F3,0.3253653944304832,0.5248690478271599,0.40171090768135925,0.4565195951429788,0.453340870049486,0.4549246799353539,Reference,Estimate
TRKCXCG149E3DF10FF,0.4303525249747482,0.41496344969881116,0.4225179073874211,0.552786391848394,0.4861663320294691,0.517340445516425,Reference,Estimate
TRKDCAQ149E396ED23,0.3549606465182452,0.26809320110246354,0.3054713051010887,0.3840023152022708,0.4197768321357826,0.4010934494687009,Reference,Estimate
TRKDDGW149E3C8EB3B,0.5498936489602975,0.5631129044329076,0.5564247736928614,0.5881635078504325,0.6041351422667114,0.5960423497190033,Reference,Estimate
TRKDRGR149E3441958,0.7347553840735647,0.7079046014821451,0.721080119442145,0.7928396788228879,0.7861465121657241,0.7894789096578002,Reference,Estimate
